Test Number, ObjectAsString, list
1, 0.0008179580000000075 seconds, 0.0007652499999999951 seconds
2, 0.0007889170000000001 seconds, 0.0007375419999999938 seconds
3, 0.0007619999999999988 seconds, 0.0007675829999999884 seconds
4, 0.0007604579999999916 seconds, 0.0008999160000000006 seconds
5, 0.0007323749999999934 seconds, 0.0007104159999999915 seconds
6, 0.0008130830000000061 seconds, 0.000842290999999995 seconds
7, 0.0007676250000000079 seconds, 0.0007174159999999985 seconds
8, 0.0007680419999999966 seconds, 0.0007209999999999994 seconds
9, 0.0008032500000000053 seconds, 0.0007406250000000225 seconds
10, 0.0007994169999999967 seconds, 0.0016094590000000075 seconds
11, 0.0008211250000000059 seconds, 0.0007342499999999919 seconds
12, 0.0010618329999999843 seconds, 0.0008297919999999959 seconds
13, 0.000790625000000017 seconds, 0.000719833000000003 seconds
14, 0.0007717079999999821 seconds, 0.0007311249999999991 seconds
15, 0.0007603750000000076 seconds, 0.0007834159999999812 seconds
16, 0.0007762920000000118 seconds, 0.0007403340000000092 seconds
17, 0.0008847920000000231 seconds, 0.0007135000000000058 seconds
18, 0.0007787079999999891 seconds, 0.0007494579999999806 seconds
19, 0.0007578329999999855 seconds, 0.0007938749999999994 seconds
20, 0.0011700000000000044 seconds, 0.0010775839999999925 seconds
21, 0.0007573339999999984 seconds, 0.0007937910000000159 seconds
22, 0.0008555409999999875 seconds, 0.0007300000000000084 seconds
23, 0.0007399590000000122 seconds, 0.0007675000000000043 seconds
24, 0.0007034999999999958 seconds, 0.0006805000000000005 seconds
25, 0.0006990829999999892 seconds, 0.000721208000000001 seconds
26, 0.000760958000000006 seconds, 0.0007095000000000018 seconds
27, 0.0006976669999999852 seconds, 0.0007346669999999944 seconds
28, 0.0007391659999999856 seconds, 0.0007042080000000117 seconds
29, 0.0007367500000000082 seconds, 0.0007057499999999772 seconds
30, 0.000738875 seconds, 0.0007216670000000092 seconds
31, 0.0007775000000000143 seconds, 0.0007152500000000006 seconds
32, 0.0007050419999999891 seconds, 0.000692958999999993 seconds
33, 0.0007236249999999778 seconds, 0.0006901250000000136 seconds
34, 0.0007235000000000158 seconds, 0.0007096660000000254 seconds
35, 0.0007203329999999897 seconds, 0.0006835419999999814 seconds
36, 0.0007239579999999968 seconds, 0.0006944589999999806 seconds
37, 0.0007215829999999979 seconds, 0.0007247090000000178 seconds
38, 0.0007013750000000041 seconds, 0.0006893330000000142 seconds
39, 0.0006986659999999867 seconds, 0.0006879579999999885 seconds
40, 0.0007355 seconds, 0.0007217919999999989 seconds
41, 0.0007233749999999983 seconds, 0.0006790000000000129 seconds
42, 0.0007307920000000079 seconds, 0.000697749999999997 seconds
43, 0.0007235839999999993 seconds, 0.0007100419999999941 seconds
44, 0.0007516250000000058 seconds, 0.0006847909999999902 seconds
45, 0.0007347909999999847 seconds, 0.0007078749999999967 seconds
46, 0.0007125000000000048 seconds, 0.0007003750000000031 seconds
47, 0.0007261660000000003 seconds, 0.0006885410000000147 seconds
48, 0.0007199589999999922 seconds, 0.0007023329999999994 seconds
49, 0.0007361670000000098 seconds, 0.0006914580000000337 seconds
50, 0.0007212910000000128 seconds, 0.0006931250000000166 seconds
51, 0.0007157920000000484 seconds, 0.0006957080000000171 seconds
52, 0.0006981670000000273 seconds, 0.0006941249999999899 seconds
53, 0.0007088330000000198 seconds, 0.0007180420000000298 seconds
54, 0.0007250000000000312 seconds, 0.0006892919999999525 seconds
55, 0.0007063749999999813 seconds, 0.0006990410000000113 seconds
56, 0.0007097080000000311 seconds, 0.0007212500000000066 seconds
57, 0.000697292000000016 seconds, 0.0006732090000000079 seconds
58, 0.0007136669999999734 seconds, 0.0006822499999999954 seconds
59, 0.0007267499999999982 seconds, 0.000708207999999988 seconds
60, 0.0007140829999999765 seconds, 0.0006915000000000115 seconds
61, 0.0007062500000000194 seconds, 0.0007056670000000209 seconds
62, 0.0007297079999999956 seconds, 0.0006887909999999664 seconds
63, 0.0007147080000000083 seconds, 0.0007268340000000095 seconds
64, 0.0007044999999999968 seconds, 0.0007010420000000406 seconds
65, 0.0007231670000000245 seconds, 0.0007076670000000229 seconds
66, 0.0007091249999999771 seconds, 0.0007082499999999659 seconds
67, 0.000727957999999973 seconds, 0.0007614579999999926 seconds
68, 0.0007197909999999696 seconds, 0.0006764579999999909 seconds
69, 0.0007266669999999587 seconds, 0.0006950000000000012 seconds
70, 0.00075550000000002 seconds, 0.0006964170000000047 seconds
71, 0.0007201249999999604 seconds, 0.0006727499999999997 seconds
72, 0.0007044580000000189 seconds, 0.0006968750000000412 seconds
73, 0.0007084589999999946 seconds, 0.000691167000000048 seconds
74, 0.000696958999999997 seconds, 0.000689499999999954 seconds
75, 0.0007039999999999824 seconds, 0.0006783749999999533 seconds
76, 0.0007237920000000009 seconds, 0.00072941700000001 seconds
77, 0.0007019999999999804 seconds, 0.0006598749999999765 seconds
78, 0.0007058749999999669 seconds, 0.0007266669999999587 seconds
79, 0.0007521249999999924 seconds, 0.0006897920000000224 seconds
80, 0.0007292919999999925 seconds, 0.000717416999999998 seconds
81, 0.000737874999999999 seconds, 0.0007189170000000411 seconds
82, 0.0007148750000000037 seconds, 0.0006785000000000263 seconds
83, 0.000715416999999996 seconds, 0.0007215419999999639 seconds
84, 0.0007204170000000287 seconds, 0.0007083330000000054 seconds
85, 0.0007080419999999643 seconds, 0.0006936669999999534 seconds
86, 0.0007073329999999767 seconds, 0.0006960000000000299 seconds
87, 0.0007411659999999598 seconds, 0.0007345409999999775 seconds
88, 0.0007105420000000362 seconds, 0.0006883340000000127 seconds
89, 0.0007203340000000447 seconds, 0.0007035830000000076 seconds
90, 0.0007232080000000307 seconds, 0.0006914590000000054 seconds
91, 0.0007039999999999824 seconds, 0.0006902080000000255 seconds
92, 0.0007444580000000034 seconds, 0.0007023329999999994 seconds
93, 0.0006936249999999755 seconds, 0.0006795829999999836 seconds
94, 0.0007136669999999734 seconds, 0.0006959589999999682 seconds
95, 0.0007175830000000216 seconds, 0.0007087500000000357 seconds
96, 0.0007101669999999838 seconds, 0.0007143340000000387 seconds
97, 0.0007337919999999554 seconds, 0.0007220000000000004 seconds
98, 0.0007176249999999995 seconds, 0.0006902500000000034 seconds
99, 0.0007335410000000042 seconds, 0.0007059999999999844 seconds
100, 0.0007330409999999898 seconds, 0.0007216250000000035 seconds
