Test Number, ObjectAsString, list
1, 0.000948125000000008 seconds, 0.0007684170000000073 seconds
2, 0.0008859580000000061 seconds, 0.0007650420000000074 seconds
3, 0.0008905410000000086 seconds, 0.0007307090000000099 seconds
4, 0.0008414580000000033 seconds, 0.00076704100000001 seconds
5, 0.0008598749999999961 seconds, 0.0007614579999999926 seconds
6, 0.000863458999999997 seconds, 0.000734499999999999 seconds
7, 0.000841290999999994 seconds, 0.0007296249999999976 seconds
8, 0.0008682079999999953 seconds, 0.0007939160000000056 seconds
9, 0.0009731659999999975 seconds, 0.0008199999999999874 seconds
10, 0.001634582999999995 seconds, 0.0009619999999999906 seconds
11, 0.0008521250000000091 seconds, 0.0007540000000000047 seconds
12, 0.0008863339999999886 seconds, 0.0007562499999999861 seconds
13, 0.0008407910000000074 seconds, 0.0007225829999999989 seconds
14, 0.0009948750000000062 seconds, 0.0007518749999999852 seconds
15, 0.0010163330000000081 seconds, 0.0008129999999999804 seconds
16, 0.0008311670000000215 seconds, 0.0008062910000000145 seconds
17, 0.0008472919999999995 seconds, 0.000829416999999999 seconds
18, 0.0008393749999999756 seconds, 0.000721833000000005 seconds
19, 0.0015459999999999918 seconds, 0.0017277500000000001 seconds
20, 0.0009934169999999964 seconds, 0.000883624999999999 seconds
21, 0.0008489160000000051 seconds, 0.0007732500000000031 seconds
22, 0.0009412089999999984 seconds, 0.0007829580000000003 seconds
23, 0.0008952500000000141 seconds, 0.0007645000000000013 seconds
24, 0.0008303749999999943 seconds, 0.0007185830000000226 seconds
25, 0.000866958000000001 seconds, 0.000718207999999998 seconds
26, 0.000802749999999991 seconds, 0.0007082919999999993 seconds
27, 0.0007738330000000015 seconds, 0.0007194579999999784 seconds
28, 0.0007898330000000175 seconds, 0.0007310420000000151 seconds
29, 0.0008041249999999889 seconds, 0.00070075 seconds
30, 0.0007856670000000177 seconds, 0.0007181670000000195 seconds
31, 0.0007678750000000012 seconds, 0.0007128339999999955 seconds
32, 0.0007986249999999973 seconds, 0.0006871669999999885 seconds
33, 0.0007930419999999938 seconds, 0.0007097079999999756 seconds
34, 0.0008024580000000059 seconds, 0.0006905830000000224 seconds
35, 0.0008054170000000027 seconds, 0.0007202919999999835 seconds
36, 0.0007772090000000009 seconds, 0.0007159999999999944 seconds
37, 0.0007940000000000169 seconds, 0.0007190420000000031 seconds
38, 0.0007797090000000173 seconds, 0.0006978750000000145 seconds
39, 0.0008082080000000047 seconds, 0.0007024160000000113 seconds
40, 0.0007795409999999947 seconds, 0.0006993750000000021 seconds
41, 0.0008028750000000084 seconds, 0.0006952080000000027 seconds
42, 0.0008337499999999942 seconds, 0.0007041669999999778 seconds
43, 0.0007915829999999846 seconds, 0.0007041249999999999 seconds
44, 0.0008090000000000042 seconds, 0.0006791250000000026 seconds
45, 0.0008260000000000212 seconds, 0.0006983330000000232 seconds
46, 0.0007944579999999979 seconds, 0.0007001660000000021 seconds
47, 0.0007989999999999942 seconds, 0.0007094159999999905 seconds
48, 0.0008243749999999883 seconds, 0.0007066250000000163 seconds
49, 0.0007920419999999928 seconds, 0.0007158750000000325 seconds
50, 0.0008037500000000475 seconds, 0.0007152500000000006 seconds
51, 0.0007868329999999868 seconds, 0.0007126660000000284 seconds
52, 0.0008035829999999966 seconds, 0.0007193329999999887 seconds
53, 0.0008146669999999911 seconds, 0.0006997920000000324 seconds
54, 0.0007985830000000194 seconds, 0.0006849170000000071 seconds
55, 0.0007923329999999784 seconds, 0.0007116659999999997 seconds
56, 0.0007762089999999722 seconds, 0.0007137919999999909 seconds
57, 0.0007905420000000052 seconds, 0.0006632080000000262 seconds
58, 0.0007944169999999917 seconds, 0.0007168750000000057 seconds
59, 0.0007917909999999861 seconds, 0.0007056249999999875 seconds
60, 0.000793041999999966 seconds, 0.0006980840000000432 seconds
61, 0.0008008749999999787 seconds, 0.0007426660000000029 seconds
62, 0.0007902080000000145 seconds, 0.0006971659999999713 seconds
63, 0.0007928329999999928 seconds, 0.0006914590000000054 seconds
64, 0.0008250419999999981 seconds, 0.0007053750000000081 seconds
65, 0.0008033749999999951 seconds, 0.0007163749999999913 seconds
66, 0.0007973330000000112 seconds, 0.0006947919999999996 seconds
67, 0.0008157910000000101 seconds, 0.0007137080000000351 seconds
68, 0.0008010410000000023 seconds, 0.0006997910000000052 seconds
